Date,p_up_gold
2016-02-23,0.6074091780704972
2016-02-24,0.574375794520059
2016-02-25,0.6317307282358392
2016-02-26,0.6539908512212462
2016-02-29,0.6300106245289231
2016-03-01,0.6764098911151335
2016-03-02,0.6452965644131143
2016-03-03,0.5883454783724591
2016-03-04,0.6154841773555052
2016-03-07,0.5702537796353665
2016-03-08,0.6555463799594532
2016-03-09,0.6948735089349213
2016-03-10,0.6410907622900803
2016-03-11,0.7225413182367519
2016-03-14,0.7073246052202593
2016-03-15,0.7327397530617412
2016-03-16,0.7039750394468749
2016-03-17,0.5838273277530119
2016-03-18,0.7141430821382067
2016-03-21,0.6606311501784677
2016-03-22,0.7205531039762859
2016-03-23,0.678493515249585
2016-03-24,0.7006353926727518
2016-03-28,0.7083813314636954
2016-03-29,0.6849409798383433
2016-03-30,0.7239355468981674
2016-03-31,0.6798666348514965
2016-04-01,0.6856263613351031
2016-04-04,0.668611336998578
2016-04-05,0.6943842932594861
2016-04-06,0.7015397061896934
2016-04-07,0.6462166197953152
2016-04-08,0.6808088798488524
2016-04-11,0.6658504205273788
2016-04-12,0.685473430794869
2016-04-13,0.6586032505777192
2016-04-14,0.7328706540500323
2016-04-15,0.7156381049476545
2016-04-18,0.6771494605928786
2016-04-19,0.6165147352884651
2016-04-20,0.6436315093438478
2016-04-21,0.6291963676693904
2016-04-22,0.7611576080039291
2016-04-25,0.7350158041920567
2016-04-26,0.6535975818968879
2016-04-27,0.6592576609211807
2016-04-28,0.6465815817479231
2016-04-29,0.6839587537685232
2016-05-02,0.7325043659997876
2016-05-03,0.7556443831362386
2016-05-04,0.7171839765752762
2016-05-05,0.6800826185625832
2016-05-06,0.7492046954982159
2016-05-09,0.7645970537602348
2016-05-10,0.7623333696767189
2016-05-11,0.6906475383981137
2016-05-12,0.7330764213816109
2016-05-13,0.6820798808829354
2016-05-16,0.7194334881362594
2016-05-17,0.6629249111374651
2016-05-18,0.7080680279182631
2016-05-19,0.7773370513559449
2016-05-20,0.7304309642991963
2016-05-23,0.7141566090363562
2016-05-24,0.7203677934232322
2016-05-25,0.6065026734655004
2016-05-26,0.6060630836882829
2016-05-27,0.60100896287048
2016-05-31,0.67571535479289
2016-06-01,0.6230009502723086
2016-06-02,0.6278474969823401
2016-06-03,0.7520402233438332
2016-06-06,0.7121189146730706
2016-06-07,0.6668969694983279
2016-06-08,0.7249593413007119
2016-06-09,0.6387106239821941
2016-06-10,0.5800389663865768
2016-06-13,0.6112314078278562
2016-06-14,0.6195746932955062
2016-06-15,0.5997732904903181
2016-06-16,0.594054235997109
2016-06-17,0.5800601393254003
2016-06-20,0.5837806350725031
2016-06-21,0.7599451233361112
2016-06-22,0.6603001628119849
2016-06-23,0.6780519646880796
2016-06-24,0.7054008285311766
2016-06-27,0.7062065257235137
2016-06-28,0.7047947956191177
2016-06-29,0.703425671687177
2016-06-30,0.7047947956191177
2016-07-01,0.6400007884245691
2016-07-05,0.6438897614656816
2016-07-06,0.6465343295639534
2016-07-07,0.6321839593163957
2016-07-08,0.6684413092648659
2016-07-11,0.6788999858751437
2016-07-12,0.7059421916264216
2016-07-13,0.7430770839238826
2016-07-14,0.7717127399201719
2016-07-15,0.7432245582193118
2016-07-18,0.7647283814968351
2016-07-19,0.7605619545047004
2016-07-20,0.6976493930210343
2016-07-21,0.7528211308144683
2016-07-22,0.7392401608488017
2016-07-25,0.6773304192274155
2016-07-26,0.6326455888649006
2016-07-27,0.6489961033702476
2016-07-28,0.6976765814956734
2016-07-29,0.6336940072562184
2016-08-01,0.6518150037103778
2016-08-02,0.6388939754253133
2016-08-03,0.6428843421349282
2016-08-04,0.6284988336400128
2016-08-05,0.5923762470685664
2016-08-08,0.5923762470685664
2016-08-09,0.6278286699074633
2016-08-10,0.6376881048149221
2016-08-11,0.6463365958117178
2016-08-12,0.6684894313283105
2016-08-15,0.6784662721830049
2016-08-16,0.6853891029509883
2016-08-17,0.6769789015266416
2016-08-18,0.7077408506786924
2016-08-19,0.6929390897956287
2016-08-22,0.6339075474807954
2016-08-23,0.6339075474807954
2016-08-24,0.6642424633809293
2016-08-25,0.6519525491642538
2016-08-26,0.6620969464675887
2016-08-29,0.6579858332761381
2016-08-30,0.6839285188217372
2016-08-31,0.6839285188217372
2016-09-01,0.6839120851124013
2016-09-02,0.6962022916524117
2016-09-06,0.6765328125992089
2016-09-07,0.6080101206854556
2016-09-08,0.6552031129661816
2016-09-09,0.6526438000711936
2016-09-12,0.6339075474807954
