p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,valid_n_trades,valid_total_return,valid_win_rate,valid_sharpe,valid_max_dd,test_n_trades,test_total_return,test_win_rate,test_sharpe,test_max_dd,forward_n_trades,forward_total_return,forward_win_rate,forward_sharpe,forward_max_dd,score
0.49,0.47,9,0.06,30,4,-0.0997,0.5,-2.136,-0.0997,10,0.1617,0.6,1.165,-0.0815,20,0.3548,0.5,1.069,-0.155,0.063657
0.49,0.4,9,0.08,30,0,0.0,0.0,0.0,0.0,7,0.053,0.2857,0.413,-0.0815,8,0.227,0.5,0.938,-0.05,0.063375
0.51,0.47,6,0.08,30,4,-0.1612,0.25,-2.736,-0.1612,9,-0.0085,0.4444,0.003,-0.1253,17,0.8527,0.7059,1.992,-0.1337,0.063347625
0.55,0.47,9,0.08,30,4,-0.1098,0.5,-1.878,-0.1098,4,-0.0338,0.25,-1.222,-0.0455,12,0.839,0.75,2.258,-0.0854,0.063294
0.52,0.45,12,0.08,30,3,-0.1378,0.3333,-2.467,-0.1378,8,0.1184,0.375,0.892,-0.0597,13,0.7674,0.7692,2.181,-0.0785,0.06251025
0.52,0.45,6,0.08,30,3,-0.1378,0.3333,-2.467,-0.1378,8,-0.0237,0.25,-0.128,-0.1332,14,0.8232,0.7857,2.096,-0.0785,0.06125212500000001
0.55,0.47,6,0.08,30,4,-0.1084,0.5,-1.867,-0.1084,4,-0.0338,0.25,-1.222,-0.0455,13,0.8088,0.6923,2.078,-0.0854,0.06086025
0.53,0.4,9,0.07,30,0,0.0,0.0,0.0,0.0,5,0.0099,0.4,0.24,-0.0423,5,0.2377,0.6,0.927,-0.0683,0.0606625
0.53,0.4,12,0.07,30,0,0.0,0.0,0.0,0.0,5,0.0099,0.4,0.24,-0.0423,5,0.2377,0.6,0.927,-0.0683,0.0606625
0.52,0.47,15,0.08,30,4,-0.0645,0.5,-1.126,-0.0751,7,0.0413,0.4286,0.42,-0.0995,12,0.7411,0.75,2.012,-0.0785,0.06018375000000001
0.51,0.47,15,0.06,30,4,-0.1087,0.5,-2.151,-0.1087,8,0.03,0.5,0.331,-0.0913,14,0.3937,0.6429,1.774,-0.0813,0.058467750000000006
0.51,0.47,9,0.08,30,4,-0.167,0.25,-2.716,-0.167,8,0.0923,0.5,0.784,-0.0598,16,0.7438,0.625,1.895,-0.1228,0.05828212500000001
0.49,0.47,15,0.08,30,4,-0.0799,0.25,-1.557,-0.0799,10,0.1048,0.5,0.872,-0.0771,16,0.6847,0.6875,2.048,-0.0552,0.05751487499999999
0.53,0.43,15,0.06,30,0,0.0,0.0,0.0,0.0,5,0.0858,0.4,0.834,-0.0504,7,0.1858,0.4286,0.737,-0.0994,0.057175
0.52,0.43,12,0.06,30,0,0.0,0.0,0.0,0.0,8,0.1501,0.375,1.048,-0.0597,8,0.1525,0.375,0.623,-0.0994,0.0568875
0.52,0.43,9,0.06,30,0,0.0,0.0,0.0,0.0,8,0.1501,0.375,1.048,-0.0597,8,0.1525,0.375,0.623,-0.0994,0.0568875
0.55,0.4,9,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,5,0.2461,0.6,0.956,-0.0651,0.0568
0.55,0.4,12,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,5,0.2461,0.6,0.956,-0.0651,0.0568
0.55,0.4,15,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,5,0.2461,0.6,0.956,-0.0651,0.0568
0.49,0.47,6,0.08,30,4,-0.1612,0.25,-2.736,-0.1612,12,0.0792,0.5,0.64,-0.1272,21,0.7273,0.619,1.602,-0.2074,0.056619749999999996
0.49,0.47,12,0.06,30,4,-0.1248,0.5,-2.19,-0.1248,10,0.1849,0.6,1.347,-0.0632,18,0.3053,0.5,1.105,-0.1118,0.055332750000000014
