p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,score,n_positive,median_return,mean_return,worst_year,best_year,no_trade_years
0.48,0.42,15,0.07,30,0.0617,4,-0.0444,-0.0426,-0.295,0.1573,0
0.48,0.3,10,0.12,45,0.0573,3,-0.0435,0.0049,-0.0999,0.1755,0
0.48,0.35,10,0.12,30,0.05,3,-0.0147,-0.0101,-0.1055,0.1244,0
0.52,0.3,10,0.12,30,0.0466,3,-0.026,-0.0118,-0.1186,0.0873,0
0.52,0.3,15,0.12,30,0.0466,3,-0.026,-0.0175,-0.1186,0.0873,0
0.55,0.35,25,0.12,30,0.0466,3,-0.0132,-0.0191,-0.1378,0.0975,0
0.62,0.4,25,0.1,30,0.0452,3,-0.0174,-0.0184,-0.1441,0.0708,0
0.48,0.3,25,0.12,30,0.0451,3,-0.0225,-0.0028,-0.1377,0.135,0
0.48,0.3,15,0.1,45,0.0444,3,-0.0242,0.0131,-0.1411,0.1835,0
0.48,0.3,20,0.1,45,0.044,3,-0.0268,0.0122,-0.1411,0.1755,0
0.52,0.3,10,0.1,45,0.0438,3,-0.0196,-0.0134,-0.1539,0.1477,0
0.55,0.35,25,0.1,30,0.0435,3,-0.0132,-0.0295,-0.166,0.0975,0
0.62,0.3,10,0.07,30,0.0435,3,-0.0212,-0.0158,-0.1536,0.0975,0
0.62,0.3,15,0.07,30,0.0435,3,-0.0212,-0.0158,-0.1536,0.0975,0
0.62,0.3,20,0.07,30,0.0435,3,-0.0212,-0.016,-0.1536,0.0975,0
0.62,0.3,25,0.07,30,0.0435,3,-0.0212,-0.0173,-0.1536,0.0975,0
0.62,0.4,25,0.07,30,0.0435,3,-0.0275,-0.0343,-0.1441,0.1023,0
0.52,0.35,25,0.12,30,0.0434,3,-0.0334,-0.036,-0.1368,0.0873,0
0.62,0.4,20,0.12,45,0.0433,3,-0.0354,0.0131,-0.1348,0.2376,0
0.52,0.3,20,0.12,30,0.0431,3,-0.0409,-0.0239,-0.1278,0.0873,0
0.58,0.35,20,0.12,30,0.0431,3,-0.0155,-0.017,-0.1661,0.1385,0
0.52,0.3,10,0.1,30,0.0428,3,-0.0253,-0.0178,-0.1539,0.0873,0
0.52,0.3,15,0.1,30,0.0428,3,-0.0253,-0.0236,-0.1539,0.0873,0
0.52,0.3,25,0.12,30,0.0425,3,-0.0409,-0.0284,-0.1333,0.0873,0
0.48,0.35,10,0.1,30,0.0423,3,-0.0205,-0.0157,-0.1659,0.1244,0
0.48,0.3,15,0.12,45,0.0422,3,-0.0242,0.0119,-0.1614,0.1835,0
0.55,0.3,10,0.12,30,0.0421,3,-0.0403,-0.0011,-0.1373,0.2335,0
0.55,0.3,15,0.12,30,0.0421,3,-0.0403,0.0072,-0.1373,0.2997,0
0.55,0.3,20,0.12,30,0.0421,3,-0.0403,-0.0109,-0.1373,0.1545,0
0.55,0.3,25,0.12,30,0.0421,3,-0.0403,-0.0168,-0.1373,0.1077,0
0.48,0.3,10,0.07,30,0.0418,3,-0.039,-0.0259,-0.142,0.1559,0
0.48,0.3,20,0.12,45,0.0417,3,-0.0268,0.0111,-0.1614,0.1755,0
0.52,0.3,10,0.12,45,0.0415,3,-0.0196,-0.0141,-0.1738,0.1477,0
0.52,0.3,20,0.1,30,0.0413,3,-0.0253,-0.0294,-0.1675,0.0873,0
0.48,0.3,10,0.1,45,0.0412,3,-0.0435,0.0063,-0.1408,0.1755,0
0.52,0.3,20,0.1,45,0.0412,3,-0.0256,-0.0246,-0.1678,0.1022,0
0.48,0.3,20,0.07,30,0.0408,3,-0.0454,-0.0279,-0.142,0.135,0
0.52,0.3,25,0.1,30,0.0407,3,-0.0253,-0.0338,-0.1727,0.0873,0
0.52,0.3,20,0.12,45,0.0405,3,-0.0256,-0.0252,-0.1738,0.1022,0
0.62,0.42,10,0.12,30,0.0404,3,-0.0174,-0.0202,-0.1868,0.1458,0
0.55,0.3,10,0.1,30,0.0403,3,-0.0253,-0.0065,-0.1765,0.2335,0
0.55,0.3,15,0.1,30,0.0403,3,-0.0253,0.0018,-0.1765,0.2997,0
0.55,0.3,20,0.1,30,0.0403,3,-0.0253,-0.0163,-0.1765,0.1545,0
0.55,0.3,25,0.1,30,0.0403,3,-0.0253,-0.0222,-0.1765,0.1077,0
0.62,0.42,10,0.1,45,0.0403,3,-0.0126,0.0088,-0.1953,0.2786,0
0.48,0.3,25,0.12,45,0.0399,3,-0.0379,0.0052,-0.1614,0.1755,0
0.62,0.42,10,0.1,30,0.0398,3,-0.0157,-0.0177,-0.1953,0.1458,0
0.62,0.42,15,0.12,30,0.0398,3,-0.0174,-0.0191,-0.193,0.1426,0
0.52,0.4,10,0.12,45,0.0389,3,-0.0487,-0.0211,-0.1538,0.1086,0
0.62,0.4,25,0.07,45,0.0389,3,-0.049,-0.0423,-0.1533,0.0924,0
0.58,0.3,20,0.07,45,0.0388,3,-0.0407,-0.0482,-0.1667,0.065,0
0.58,0.3,25,0.07,45,0.0388,3,-0.0407,-0.0494,-0.1667,0.065,0
0.58,0.35,25,0.1,30,0.0386,3,-0.0424,-0.0352,-0.1657,0.1218,0
0.58,0.35,25,0.12,30,0.0384,3,-0.0424,-0.0248,-0.168,0.1218,0
0.48,0.3,25,0.1,45,0.0381,3,-0.0379,0.006,-0.1772,0.1755,0
0.62,0.42,25,0.1,45,0.038,3,-0.0409,-0.034,-0.1733,0.1577,0
0.58,0.35,15,0.12,30,0.0377,3,-0.0267,-0.0308,-0.1977,0.0975,0
