Date,p_up_cpcv
2017-07-12,0.5634613735459355
2017-07-13,0.5560875285833147
2017-07-14,0.5558463568049896
2017-07-17,0.5531131077467573
2017-07-18,0.5516025707628651
2017-07-19,0.5516025707628651
2017-07-20,0.5422238283687737
2017-07-21,0.5092650723399819
2017-07-24,0.5033934761942076
2017-07-25,0.5924946214417806
2017-07-26,0.5924622575460026
2017-07-27,0.5215327536392657
2017-07-28,0.6253858003622158
2017-07-31,0.611152448627392
2017-08-01,0.6254891578229994
2017-08-02,0.5806798591698767
2017-08-03,0.6071105976469302
2017-08-04,0.5754678866071499
2017-08-07,0.5433653491804822
2017-08-08,0.6206806709267209
2017-08-09,0.5790128267937775
2017-08-10,0.5725550073064413
2017-08-11,0.5790128267937775
2017-08-14,0.5659830062457065
2017-08-15,0.6183256222687621
2017-08-16,0.6648753015882898
2017-08-17,0.5586375248691621
2017-08-18,0.5586375248691621
2017-08-21,0.5586375248691621
2017-08-22,0.5849262857861521
2017-08-23,0.5757534061066678
2017-08-24,0.5757534061066678
2017-08-25,0.5906047347865974
2017-08-28,0.5729680487473547
2017-08-29,0.5907442635881444
2017-08-30,0.5757534061066678
2017-08-31,0.6033082849145405
2017-09-01,0.5968689226704157
2017-09-04,0.5996542800297288
2017-09-05,0.5974903071125481
2017-09-06,0.5798530440539288
2017-09-07,0.5811114748580664
2017-09-08,0.6176830516420313
2017-09-11,0.6291763258551109
2017-09-12,0.6402280332027808
2017-09-13,0.6195505644787322
2017-09-14,0.5905679810678588
2017-09-15,0.6180571395097334
2017-09-18,0.6247700748292297
2017-09-19,0.6791845951287726
2017-09-20,0.6346214304126672
2017-09-21,0.5040654375338925
2017-09-22,0.5075109656666861
2017-09-25,0.5576365646880955
2017-09-26,0.4676027399348525
2017-09-27,0.5126408653317825
2017-09-28,0.4518114545555245
2017-09-29,0.5520071601833774
2017-10-02,0.5516025707628651
2017-10-03,0.5354835998733275
2017-10-04,0.5516025707628651
2017-10-05,0.5349264439161253
2017-10-06,0.5383205313807725
2017-10-09,0.5383205313807725
2017-10-10,0.6083779598146895
2017-10-11,0.5498331500309398
2017-10-12,0.5868955241207428
2017-10-13,0.6156373449783608
2017-10-16,0.6091989858459141
